trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,X,X,D,0,0.4832166335126151,0.33451646425548065,0.39741676392360964,0.3716670947382462,0
1,Y,X,D,1,0.44906762764875185,0.29452706107767185,0.4032336295879254,0.39060635582794334,0
2,Y,Y,J,0,0.4330310744327754,0.30661814510116825,0.414870314446889,0.35675564575756524,0
3,Y,X,F,0,0.4799904368862111,0.30476192182457873,0.39915959809299295,0.3678946869890055,0
4,X,X,F,1,0.5236006296555856,0.2781162716004919,0.3779096234768171,0.38619930270520103,0
5,X,X,D,1,0.5055943882173622,0.3297447707293498,0.3464686205801299,0.3449996557356437,0
6,X,Y,J,0,0.49840186729130204,0.32780473586625114,0.38119159056255547,0.30697774448040066,0
7,X,X,D,0,0.4645838846323209,0.3572354182063753,0.3820400411461662,0.31223509742607,0
8,X,X,F,0,0.45019611859808817,0.34303310749846955,0.40758012013175593,0.33386492340378404,0
9,X,X,D,0,0.45520544186102074,0.35627040359770856,0.403571804161263,0.3159440813246356,0
10,X,X,D,0,0.5129861010303775,0.3767323197145275,0.4211032462467379,0.3386881376481719,0
11,X,X,D,0,0.4742912585525082,0.37190099456082615,0.39588918940535117,0.31292884907639523,0
12,X,Y,K,1,0.47882194061033295,0.3800925729223041,0.3726973086944826,0.33877715417291054,0
13,X,X,F,1,0.4986325940296046,0.36729194991929087,0.36877737764753915,0.33250685542880215,0
14,X,X,D,1,0.4868293531491689,0.3424800632370126,0.37291590123306134,0.31968280034095636,0
15,X,X,D,0,0.4925558293454599,0.2895855491086693,0.3730008743310455,0.314424683453183,0
16,X,X,F,1,0.5090721996531946,0.28978038600568534,0.3632418990620275,0.32112032526790624,0
17,X,X,D,0,0.46930678843442003,0.3459509840045488,0.3763098009432382,0.3476355380170795,0
18,X,X,F,0,0.43702765510676855,0.3228893110355609,0.37264445448917033,0.36680666887491253,0
19,X,X,F,0,0.43808173422365804,0.33966590244339695,0.383614197563003,0.36578657746242255,0
0,X,X,F,1,0.5198765851074361,0.5322650699102012,0.5219843535368828,0.5403342384176044,1
1,Y,Y,J,1,0.5097403014349159,0.5384909003042736,0.5079216515408171,0.5521112317547358,1
2,Y,Y,J,1,0.5073821885788722,0.547880458717658,0.5114231758232377,0.5909258617757805,1
3,X,X,D,0,0.5332836183543188,0.5400025107577594,0.4848195560573321,0.5809387782622238,1
4,X,X,D,1,0.5876411923947646,0.5751768757127209,0.43254810823057793,0.5693325728323682,1
5,Y,Y,J,1,0.5470305906758668,0.5982335423008006,0.465254416632588,0.5906149951142884,1
6,X,X,D,1,0.5487778945793291,0.5644244820888066,0.46611766323101694,0.5826532242192722,1
7,X,Y,K,0,0.5363907564817293,0.5685819748186092,0.5046500606547737,0.6016751040157119,1
8,Y,X,D,1,0.5084565378043151,0.5468890688155298,0.49464567170452717,0.5855516213008762,1
9,X,X,D,0,0.5180859447710645,0.535314124921098,0.510917272325065,0.5762838420222972,1
10,Y,Y,K,1,0.4860588817428362,0.5329576013737688,0.4913069515084848,0.5578583266141401,1
11,X,X,F,0,0.49246699233788654,0.541507187361847,0.5226390902231258,0.5582687769470938,1
12,X,X,D,1,0.4795601285388752,0.5426550119227596,0.5218951976825463,0.5546731577400499,1
13,X,X,D,0,0.4933591951269858,0.5414060358708301,0.5938412325306709,0.537699811687045,1
14,X,Y,J,0,0.4526030587282133,0.523810493948794,0.5808359492410614,0.569756882686852,1
15,X,Y,K,0,0.42978565323628304,0.5544066719651319,0.5953878195052505,0.552808406632616,1
16,X,X,D,1,0.4713619218492555,0.5707200838907294,0.623178836979362,0.5437092319232151,1
17,X,Y,J,1,0.4676821004657386,0.5938610473255955,0.5748329427484775,0.5673899552754985,1
18,Y,Y,J,1,0.452535086469159,0.6384736015377105,0.6095979015714693,0.5890286947067622,1
19,X,X,D,1,0.4798864966068047,0.6278871753545364,0.5706285049244717,0.5586963998082334,1
0,Y,X,F,1,0.47425621189313605,0.7484848305966492,0.5929109721426691,0.501001697733976,2
1,X,X,D,0,0.45592308798824177,0.75,0.5635223117802473,0.4968104438365279,2
2,Y,X,D,0,0.4687683635528115,0.7191467251083506,0.6015067087263499,0.5256641977165251,2
3,Y,Y,K,1,0.48777866898077016,0.6959092948976472,0.5569801996017165,0.4685157228512608,2
4,X,X,D,1,0.47306206014777674,0.6610582036206047,0.5665805558146766,0.46560521721810444,2
5,X,X,D,1,0.5038402572563233,0.6370151585542048,0.5425473978457173,0.4748975766507359,2
6,X,Y,J,0,0.5224257186313079,0.6336485593566125,0.5197788418094164,0.4705742779531593,2
7,X,X,D,0,0.5096772229239898,0.6452128465539757,0.5426756421366123,0.4639588482511611,2
8,Y,Y,K,1,0.5076058125636016,0.6696191581981836,0.5571490873911942,0.4623471756822235,2
9,X,X,F,0,0.531720763845299,0.597208204743152,0.5870475279564255,0.4509571914232947,2
10,X,X,D,0,0.529978707650442,0.5860399146470536,0.6024772282623629,0.48830324595685143,2
11,X,X,D,0,0.5355847403499648,0.5800037947494269,0.6370427293231747,0.5268312752610942,2
12,X,X,D,1,0.5384888229013136,0.5572127695971403,0.6184951857367399,0.5477027673936447,2
13,Y,Y,J,1,0.5734939461794964,0.5777559758237848,0.6136943908908962,0.5568028210431681,2
14,X,X,F,0,0.559652159478555,0.586795179551261,0.6025461405017162,0.5546021970630164,2
15,X,Y,K,0,0.5620083730905342,0.5929776725068866,0.5806069324621672,0.5851066365854095,2
16,Y,X,D,0,0.5682458693954482,0.5306387357792124,0.5992214030381894,0.5863177847195633,2
17,X,X,F,0,0.583589072453365,0.514918609548496,0.5979020008015322,0.547309035210104,2
18,Y,Y,K,1,0.5866867276307435,0.5050725590654389,0.5800939354385739,0.5240148161883156,2
19,X,X,F,0,0.5672828415603569,0.5088623998169477,0.5823741805358871,0.5439904871795689,2
0,X,X,D,0,0.28520877828328556,0.5079784374650085,0.6831105087950188,0.6358364767655813,3
1,X,X,F,0,0.26434762802355105,0.5155360713497457,0.6631349063008305,0.625525570339042,3
2,X,X,D,1,0.2877351857289436,0.4941544187313969,0.6520837072032473,0.6336524997380094,3
3,X,Y,K,1,0.31018951248580534,0.45833471807064874,0.6649548419079144,0.603561341504268,3
4,X,X,D,0,0.3116373822199654,0.48838742467489776,0.6738464432980474,0.6307214073696629,3
5,Y,Y,K,1,0.3066968975020122,0.5060745420591432,0.6900522178113039,0.6231571576631411,3
6,X,X,D,1,0.33035482168459307,0.48519033576569137,0.6820771802655654,0.6281797284130042,3
7,Y,Y,J,1,0.3012853373770044,0.47495344438109555,0.6424400426727795,0.633489890184484,3
8,Y,Y,K,0,0.3203524270157854,0.5139150512504252,0.5903772592941623,0.6143121186573754,3
9,X,Y,J,0,0.3372494639828596,0.4667693290115076,0.6163426321475787,0.5954747277952884,3
10,Y,Y,K,0,0.3409845984742736,0.5005189056591748,0.6759375523775635,0.5688726981926077,3
11,X,X,D,1,0.3099479954443993,0.5216767149427952,0.6811818629002754,0.5418590583678367,3
12,X,X,D,0,0.3073394336537899,0.5243094397786209,0.6829978818077261,0.5271068133639976,3
13,X,X,F,1,0.30404591667337694,0.5609395623653716,0.638503176342998,0.5262698264724386,3
14,X,Y,J,1,0.2694593896300468,0.5603107356633804,0.6652113150641662,0.5690913610082297,3
15,Y,Y,J,1,0.2512260241576805,0.5176720544257745,0.6250866906892242,0.6086464584633713,3
16,X,Y,J,1,0.25,0.5271607917957273,0.6059387161366511,0.6098004309330465,3
17,X,Y,J,0,0.2625990406411634,0.5017528459579248,0.5770075204810539,0.609766800766018,3
18,X,X,D,1,0.25,0.5130765916194898,0.5408599206243079,0.6021682857823638,3
19,X,X,D,0,0.25,0.512289020331858,0.5796809763953843,0.6091274835745486,3
0,X,X,D,1,0.6906415244798043,0.41252519398103804,0.6401735300281979,0.5166701031733727,4
1,Y,Y,J,1,0.718233201212964,0.42017724428792363,0.6474696306328196,0.5233340504265759,4
2,X,X,D,0,0.7407133125180656,0.3996113331189717,0.6892454495081272,0.5218520071459811,4
3,X,Y,K,0,0.7185850849122836,0.36168341872681437,0.6617750989498035,0.5174469699899711,4
4,Y,X,F,0,0.6689275527290138,0.3730292316560194,0.6486914818504896,0.48602749020499997,4
5,X,X,D,1,0.6704398692646725,0.40990458839873034,0.6399920591891514,0.45259204333515246,4
6,X,X,D,0,0.6488494199087702,0.4002750769239192,0.6568666276680737,0.46362044071250846,4
7,Y,Y,K,1,0.6351690918726111,0.4136257668289338,0.6445907043591306,0.46962791986210206,4
8,Y,Y,J,1,0.6102089849697135,0.3634279451740284,0.6839819662628913,0.433158898050811,4
9,X,X,D,0,0.604133942263265,0.36363252491770387,0.6330401387719041,0.44375659948387103,4
10,X,Y,K,1,0.5923228975014458,0.3545613233569543,0.6164128006647178,0.42675028791227715,4
11,Y,X,D,0,0.5908181329568789,0.34566477167139364,0.6561808927468439,0.4214175752682951,4
12,X,Y,K,1,0.5518068226832545,0.396249080214583,0.6704118276320685,0.4407735062865842,4
13,X,X,D,0,0.5711941216326608,0.36255314399774735,0.6507629153195915,0.4528183900876121,4
14,X,X,D,1,0.590328265568388,0.32509406229753157,0.6562915725778274,0.4120039299674236,4
15,X,Y,J,1,0.589790276086934,0.3025549974449721,0.6652369774546081,0.42743936131721505,4
16,X,X,D,1,0.5949629665629176,0.30026300979911474,0.6427340674251297,0.41134608672110035,4
17,X,X,F,0,0.6391646260445119,0.29612964574114625,0.6217516792838454,0.436584997044027,4
