trial,mean0,mean1,reward0,reward1,choice,reward,run
0,80.0,60.0,71.0,61.0,0,71.0,0
1,80.0,60.0,69.0,57.0,1,57.0,0
2,80.0,60.0,73.0,66.0,1,66.0,0
3,80.0,60.0,89.0,66.0,1,66.0,0
4,80.0,60.0,79.0,61.0,1,61.0,0
5,80.0,60.0,91.0,54.0,1,54.0,0
6,80.0,60.0,73.0,53.0,1,53.0,0
7,80.0,60.0,84.0,54.0,1,54.0,0
8,80.0,60.0,79.0,78.0,1,78.0,0
9,80.0,60.0,85.0,62.0,1,62.0,0
0,20.0,40.0,17.0,30.0,1,30.0,1
1,20.0,40.0,19.0,36.0,1,36.0,1
2,20.0,40.0,22.0,36.0,0,22.0,1
3,20.0,40.0,29.0,42.0,1,42.0,1
4,20.0,40.0,26.0,42.0,1,42.0,1
0,60.0,40.0,56.0,41.0,1,41.0,2
1,60.0,40.0,55.0,53.0,0,55.0,2
2,60.0,40.0,54.0,36.0,1,36.0,2
3,60.0,40.0,52.0,39.0,1,39.0,2
4,60.0,40.0,52.0,33.0,1,33.0,2
5,60.0,40.0,58.0,41.0,0,58.0,2
6,60.0,40.0,61.0,30.0,0,61.0,2
7,60.0,40.0,79.0,43.0,0,79.0,2
8,60.0,40.0,53.0,50.0,0,53.0,2
9,60.0,40.0,64.0,43.0,0,64.0,2
0,40.0,36.0,49.0,31.0,1,31.0,3
1,40.0,36.0,47.0,40.0,0,47.0,3
2,40.0,36.0,31.0,41.0,0,31.0,3
3,40.0,36.0,40.0,39.0,0,40.0,3
4,40.0,36.0,30.0,34.0,0,30.0,3
0,40.0,60.0,33.0,57.0,1,57.0,4
1,40.0,60.0,56.0,64.0,0,56.0,4
2,40.0,60.0,44.0,56.0,0,44.0,4
3,40.0,60.0,31.0,73.0,0,31.0,4
4,40.0,60.0,36.0,51.0,0,36.0,4
0,52.0,40.0,53.0,42.0,1,42.0,5
1,52.0,40.0,51.0,44.0,0,51.0,5
2,52.0,40.0,50.0,29.0,1,29.0,5
3,52.0,40.0,59.0,44.0,1,44.0,5
4,52.0,40.0,71.0,43.0,1,43.0,5
5,52.0,40.0,54.0,25.0,1,25.0,5
6,52.0,40.0,57.0,30.0,1,30.0,5
7,52.0,40.0,56.0,28.0,1,28.0,5
8,52.0,40.0,49.0,45.0,1,45.0,5
9,52.0,40.0,43.0,32.0,1,32.0,5
0,60.0,40.0,60.0,35.0,1,35.0,6
1,60.0,40.0,52.0,50.0,0,52.0,6
2,60.0,40.0,49.0,27.0,1,27.0,6
3,60.0,40.0,58.0,36.0,1,36.0,6
4,60.0,40.0,59.0,29.0,1,29.0,6
0,32.0,40.0,39.0,24.0,0,39.0,7
1,32.0,40.0,24.0,57.0,1,57.0,7
2,32.0,40.0,28.0,51.0,1,51.0,7
3,32.0,40.0,46.0,44.0,0,46.0,7
4,32.0,40.0,35.0,43.0,0,35.0,7
5,32.0,40.0,28.0,45.0,1,45.0,7
6,32.0,40.0,36.0,36.0,1,36.0,7
7,32.0,40.0,51.0,38.0,1,38.0,7
8,32.0,40.0,43.0,32.0,0,43.0,7
9,32.0,40.0,17.0,36.0,1,36.0,7
0,52.0,60.0,43.0,64.0,1,64.0,8
1,52.0,60.0,54.0,55.0,0,54.0,8
2,52.0,60.0,58.0,66.0,0,58.0,8
3,52.0,60.0,67.0,60.0,0,67.0,8
4,52.0,60.0,36.0,69.0,0,36.0,8
0,40.0,36.0,41.0,36.0,0,41.0,9
1,40.0,36.0,38.0,35.0,0,38.0,9
2,40.0,36.0,38.0,30.0,1,30.0,9
3,40.0,36.0,47.0,25.0,1,25.0,9
4,40.0,36.0,36.0,34.0,1,34.0,9
5,40.0,36.0,36.0,51.0,1,51.0,9
6,40.0,36.0,45.0,29.0,1,29.0,9
7,40.0,36.0,56.0,39.0,1,39.0,9
8,40.0,36.0,45.0,25.0,1,25.0,9
9,40.0,36.0,35.0,28.0,1,28.0,9
0,28.0,40.0,30.0,41.0,1,41.0,10
1,28.0,40.0,26.0,58.0,1,58.0,10
2,28.0,40.0,25.0,40.0,1,40.0,10
3,28.0,40.0,29.0,46.0,0,29.0,10
4,28.0,40.0,14.0,35.0,0,14.0,10
0,40.0,60.0,50.0,64.0,1,64.0,11
1,40.0,60.0,49.0,80.0,1,80.0,11
2,40.0,60.0,56.0,55.0,0,56.0,11
3,40.0,60.0,23.0,48.0,0,23.0,11
4,40.0,60.0,48.0,65.0,0,48.0,11
0,60.0,56.0,52.0,46.0,0,52.0,12
1,60.0,56.0,58.0,56.0,1,56.0,12
2,60.0,56.0,49.0,58.0,1,58.0,12
3,60.0,56.0,78.0,65.0,1,65.0,12
4,60.0,56.0,48.0,53.0,1,53.0,12
0,60.0,90.0,58.0,92.0,0,58.0,13
1,60.0,90.0,64.0,96.0,0,64.0,13
2,60.0,90.0,62.0,86.0,1,86.0,13
3,60.0,90.0,64.0,89.0,1,89.0,13
4,60.0,90.0,56.0,83.0,0,56.0,13
0,52.0,40.0,62.0,41.0,1,41.0,14
1,52.0,40.0,44.0,45.0,1,45.0,14
2,52.0,40.0,39.0,32.0,1,32.0,14
3,52.0,40.0,58.0,48.0,0,58.0,14
4,52.0,40.0,65.0,40.0,0,65.0,14
0,60.0,90.0,58.0,87.0,0,58.0,15
1,60.0,90.0,75.0,93.0,1,93.0,15
2,60.0,90.0,71.0,90.0,1,90.0,15
3,60.0,90.0,58.0,88.0,0,58.0,15
4,60.0,90.0,55.0,96.0,0,55.0,15
0,32.0,40.0,33.0,39.0,0,33.0,16
1,32.0,40.0,22.0,38.0,1,38.0,16
2,32.0,40.0,22.0,26.0,1,26.0,16
3,32.0,40.0,30.0,40.0,1,40.0,16
4,32.0,40.0,29.0,44.0,1,44.0,16
0,60.0,80.0,56.0,86.0,1,86.0,17
1,60.0,80.0,59.0,82.0,1,82.0,17
2,60.0,80.0,51.0,78.0,1,78.0,17
3,60.0,80.0,61.0,83.0,0,61.0,17
4,60.0,80.0,78.0,78.0,0,78.0,17
0,72.0,60.0,73.0,67.0,1,67.0,18
1,72.0,60.0,70.0,65.0,0,70.0,18
2,72.0,60.0,75.0,65.0,0,75.0,18
3,72.0,60.0,77.0,52.0,1,52.0,18
4,72.0,60.0,69.0,69.0,0,69.0,18
5,72.0,60.0,59.0,83.0,0,59.0,18
6,72.0,60.0,83.0,63.0,0,83.0,18
7,72.0,60.0,69.0,59.0,0,69.0,18
8,72.0,60.0,70.0,77.0,0,70.0,18
9,72.0,60.0,82.0,64.0,0,82.0,18
